,Year,State,state_minwage,state_minwage_2020d,fed_minwage,fed_minwage_2020d,eff_minwage,eff_minwage_2020d,cpi_avg,uncleaned_dol,dol_low,dol_low_2020d,dol_high,dol_high_2020d,Unemployment
0,1976,Colorado,1.0,4.55,2.2,10.0,2.2,10.0,56.9,1.00 - 1.25(b),1.0,4.55,1.25,5.68,5.916666666666667
1,1976,Illinois,2.1,9.55,2.2,10.0,2.2,10.0,56.9,2.1,2.1,9.55,2.1,9.55,6.55
2,1976,Massachusetts,2.1,9.55,2.2,10.0,2.2,10.0,56.9,2.1,2.1,9.55,2.1,9.55,9.741666666666667
3,1976,New York,2.3,10.46,2.2,10.0,2.3,10.46,56.9,2.3,2.3,10.46,2.3,10.46,10.208333333333334
4,1976,Pennsylvania,2.2,10.0,2.2,10.0,2.2,10.0,56.9,2.2,2.2,10.0,2.2,10.0,8.008333333333333
5,1976,Texas,1.4,6.36,2.2,10.0,2.2,10.0,56.9,1.4,1.4,6.36,1.4,6.36,5.816666666666666
6,1977,Colorado,1.0,4.27,2.2,9.39,2.2,9.39,60.6,1.00 - 1.25(b),1.0,4.27,1.25,5.34,6.3500000000000005
7,1977,Illinois,2.1,8.96,2.2,9.39,2.2,9.39,60.6,2.1,2.1,8.96,2.1,8.96,6.191666666666666
8,1977,Massachusetts,2.1,8.96,2.2,9.39,2.2,9.39,60.6,2.1,2.1,8.96,2.1,8.96,7.866666666666667
9,1977,New York,2.3,9.82,2.2,9.39,2.3,9.82,60.6,2.3,2.3,9.82,2.3,9.82,9.166666666666666
10,1977,Pennsylvania,2.2,9.39,2.2,9.39,2.2,9.39,60.6,2.2,2.2,9.39,2.2,9.39,7.741666666666667
11,1977,Texas,1.4,5.98,2.2,9.39,2.2,9.39,60.6,1.4,1.4,5.98,1.4,5.98,5.433333333333334
12,1978,Colorado,1.0,3.97,2.2,8.73,2.2,8.73,65.2,1.00 - 1.25(b),1.0,3.97,1.25,4.96,5.558333333333334
13,1978,Illinois,2.1,8.33,2.2,8.73,2.2,8.73,65.2,2.1,2.1,8.33,2.1,8.33,5.983333333333333
14,1978,Massachusetts,2.1,8.33,2.2,8.73,2.2,8.73,65.2,2.1,2.1,8.33,2.1,8.33,6.158333333333334
15,1978,New York,2.3,9.12,2.2,8.73,2.3,9.12,65.2,2.3,2.3,9.12,2.3,9.12,7.708333333333333
16,1978,Pennsylvania,2.2,8.73,2.2,8.73,2.2,8.73,65.2,2.2,2.2,8.73,2.2,8.73,7.008333333333333
17,1978,Texas,1.4,5.55,2.2,8.73,2.2,8.73,65.2,1.4,1.4,5.55,1.4,5.55,4.866666666666666
18,1979,Colorado,1.9,6.77,2.9,10.33,2.9,10.33,72.6,1.9,1.9,6.77,1.9,6.77,4.616666666666666
19,1979,Illinois,2.3,8.19,2.9,10.33,2.9,10.33,72.6,2.3,2.3,8.19,2.3,8.19,5.583333333333333
20,1979,Massachusetts,2.9,10.33,2.9,10.33,2.9,10.33,72.6,2.9,2.9,10.33,2.9,10.33,5.483333333333333
21,1979,New York,2.9,10.33,2.9,10.33,2.9,10.33,72.6,2.9,2.9,10.33,2.9,10.33,7.1000000000000005
22,1979,Pennsylvania,2.9,10.33,2.9,10.33,2.9,10.33,72.6,2.9,2.9,10.33,2.9,10.33,6.9750000000000005
23,1979,Texas,1.4,4.99,2.9,10.33,2.9,10.33,72.6,1.4,1.4,4.99,1.4,4.99,4.416666666666667
24,1980,Colorado,1.9,5.96,3.1,9.73,3.1,9.73,82.4,1.9,1.9,5.96,1.9,5.96,5.883333333333333
25,1980,Illinois,2.3,7.22,3.1,9.73,3.1,9.73,82.4,2.3,2.3,7.22,2.3,7.22,8.216666666666667
26,1980,Massachusetts,3.1,9.73,3.1,9.73,3.1,9.73,82.4,3.1,3.1,9.73,3.1,9.73,5.766666666666667
27,1980,New York,3.1,9.73,3.1,9.73,3.1,9.73,82.4,3.1,3.1,9.73,3.1,9.73,7.433333333333334
28,1980,Pennsylvania,3.1,9.73,3.1,9.73,3.1,9.73,82.4,3.1,3.1,9.73,3.1,9.73,8.141666666666667
29,1980,Texas,1.4,4.39,3.1,9.73,3.1,9.73,82.4,1.4,1.4,4.39,1.4,4.39,5.25
30,1981,Colorado,1.9,5.41,3.35,9.53,3.35,9.53,90.9,1.9,1.9,5.41,1.9,5.41,5.641666666666667
31,1981,Illinois,2.3,6.54,3.35,9.53,3.35,9.53,90.9,2.3,2.3,6.54,2.3,6.54,8.625
32,1981,Massachusetts,3.35,9.53,3.35,9.53,3.35,9.53,90.9,3.35,3.35,9.53,3.35,9.53,6.391666666666667
33,1981,New York,3.35,9.53,3.35,9.53,3.35,9.53,90.9,3.35,3.35,9.53,3.35,9.53,7.558333333333334
34,1981,Pennsylvania,3.35,9.53,3.35,9.53,3.35,9.53,90.9,3.35,3.35,9.53,3.35,9.53,8.366666666666667
